Region;alpha;beta
US;0;0.2
EU;0;0.2
JAP;0;0.2
RUS;0;0.2
EUR;0;0.2
CHI;0;0.2
IND;0;0.2
MEST;0;0.2
AFR;0;0.2
LAM;0;0.2
OHI;0;0.2
OTH;0;0.2
