Region;alpha;beta
US;1.2;0.3
EU;1.2;0.3
JAP;1.2;0.3
RUS;1.2;0.3
EUR;1.2;0.3
CHI;1.2;0.3
IND;1.2;0.3
MEST;1.2;0.3
AFR;1.2;0.3
LAM;1.2;0.3
OHI;1.2;0.3
OTH;1.2;0.3
