Region;alpha;beta
US;0.2;0
EU;0.2;0
JAP;0.2;0
RUS;0.2;0
EUR;0.2;0
CHI;0.2;0
IND;0.2;0
MEST;0.2;0
AFR;0.2;0
LAM;0.2;0
OHI;0.2;0
OTH;0.2;0
