Region;alpha;beta
US;0;0.4
EU;0;0.4
JAP;0;0.4
RUS;0;0.4
EUR;0;0.4
CHI;0;0.4
IND;0;0.4
MEST;0;0.4
AFR;0;0.4
LAM;0;0.4
OHI;0;0.4
OTH;0;0.4
