Region;alpha;beta
US;0;0
EU;0;0
JAP;0;0
RUS;0;0
EUR;0;0
CHI;0;0
IND;0;0
MEST;0;0
AFR;0;0
LAM;0;0
OHI;0;0
OTH;0;0
