Region;alpha;beta
US;1;0
EU;1;0
JAP;1;0
RUS;1;0
EUR;1;0
CHI;1;0
IND;1;0
MEST;1;0
AFR;1;0
LAM;1;0
OHI;1;0
OTH;1;0
