Region;alpha;beta
US;2;0
EU;2;0
JAP;2;0
RUS;2;0
EUR;2;0
CHI;2;0
IND;2;0
MEST;2;0
AFR;2;0
LAM;2;0
OHI;2;0
OTH;2;0
