Region;alpha;beta
US;0.7;0.3
EU;0.7;0.3
JAP;0.7;0.3
RUS;0.7;0.3
EUR;0.7;0.3
CHI;0.7;0.3
IND;0.7;0.3
MEST;0.7;0.3
AFR;0.7;0.3
LAM;0.7;0.3
OHI;0.7;0.3
OTH;0.7;0.3
