Region;alpha;beta
US;1.5;0
EU;1.5;0
JAP;1.5;0
RUS;1.5;0
EUR;1.5;0
CHI;1.5;0
IND;1.5;0
MEST;1.5;0
AFR;1.5;0
LAM;1.5;0
OHI;1.5;0
OTH;1.5;0
