Region;alpha;beta
US;0.4;0
EU;0.4;0
JAP;0.4;0
RUS;0.4;0
EUR;0.4;0
CHI;0.4;0
IND;0.4;0
MEST;0.4;0
AFR;0.4;0
LAM;0.4;0
OHI;0.4;0
OTH;0.4;0
